,log Length (pc),log Mass (Msun),Line Mass (Msun / pc),Thermal critical line mass,Turbulent critical line mass,Magnetic critical line mass,Shear critical line mass
100,1.863994,3.99039,133.78148118181826,558.0565243782726,603.5980064646928,3707.8116949927644,3707.934827741876
101,1.599728,3.892802,196.36948448427918,861.6941195610019,1750.09178495259,7737.559110870624,7739.736685775502
102,1.511062,3.992817,303.2180147675478,2390.2766615680925,4838.242816575217,9926.970074652612,10044.633322590438
103,2.169843,5.172799,1006.8296580020266,8211.779100055039,10507.19532266118,18293.0593748535,18415.38248861212
104,2.648853,6.210829,3647.3379043453842,578.6019634039582,893.1211055629192,4932.755719783413,4933.508994986463
105,1.661531,3.957396,197.63551966053254,556.4236900758387,8932.289637836544,64498.85799510429,64656.614311253856
106,2.3811,5.691315,2042.7489691070032,281.10204223107166,1162.3087181468863,6520.761245391044,6524.754806827493
107,2.284364,5.291157,1015.7644284767385,1043.5059870715081,3947.767017705431,6578.6512910149595,6593.572727501112
108,3.39687,7.533809,13706.892287997864,331983.34484118514,4239890.704210137,4245807.748761094,4246244.363128745
109,1.468255,3.803068,216.1787493462514,985.0380585838762,985.0380585838762,2941.0319525314458,2948.188640624697
110,1.673324,4.14448,295.9075185170139,925.943861030737,1854.5504740730923,6177.2703652896635,6183.70921486906
111,2.508642,5.885415,2381.074587750239,105160.97234750184,129812.48669870653,131106.2400111878,132036.87940382675
112,3.379963,7.376505,9920.692762049603,1245.0826161376963,3253.014124211508,5617.583356226652,5629.248680175162
113,2.814202,6.589047,5954.49589231971,13391.677833859068,19929.806465430276,22452.71856787155,22465.639118296727
114,3.600886,7.647607,11135.789170029408,420.6395676037586,721.6408088113442,6134.883690609069,6137.819011579423
115,1.863994,4.279396,260.25674870648504,79447.58130133325,90299.82172583131,91984.60580602086,93237.9832589046
116,2.776303,6.254372,3006.5539410777524,32807.485796051085,60176.60661622033,61459.53814700763,61531.241690034796
117,1.538948,3.932284,247.36371802855828,9643.189503945596,18876.23866744197,28973.3409220177,29079.34968669567
118,1.681482,3.849696,147.30381679165845,508.2243732996452,550.3149344230599,2825.613557587523,2825.763657267179
119,1.888826,4.484597,394.24936272815205,540.899207247904,540.899207247904,2290.893094654383,2294.4562861625786
120,2.157003,5.012525,717.0046958756114,557.4780297703259,849.1582809516079,1337.8633808027387,1338.163678891383
121,1.7758,4.467845,492.0905216533955,250.54068328644487,321.8982089447611,15706.294023290662,15710.25891461629
122,2.882848,6.611035,5347.94583504767,490.48626407745144,943.6362031512816,11025.943062375689,11027.831110922687
123,2.384967,5.406949,1051.918274555625,654.3465162406723,2352.4365849255237,9000.25219686368,9005.411672328468
124,3.757557,8.102706,22138.5411986366,4172.560061163019,7558.779459993277,13563.479311878238,13799.790037049717
125,3.021162,6.784314,5796.315278691814,727.3237890612019,3390.9543674444644,4319.076112708445,4334.992427915875
126,2.130158,5.314746,1529.6356612509624,351.05309232976083,444.13732265965655,20048.143848253523,20141.680183328448
127,1.549963,3.759922,162.16569959999785,1288.9815140561534,2089.5339691962668,7073.667729988326,7427.554295392772
128,2.220425,5.08871,738.3886289267639,177.72422659077023,216.97583859894283,4730.785076586388,4732.090870183798
129,2.26954,5.4507,1517.609372435366,4390.697557148473,36201.871302229054,37551.76473918505,50806.912554644616
130,2.722554,5.687607,922.6840218834004,324.6092036843724,363.90417485274315,2516.6549707385448,2517.2509292368736
131,2.537078,5.380401,697.144812335187,3449.511595224779,9174.889564538067,10180.377551112328,14125.50511536988
132,1.960095,4.729539,588.0902780909832,30.885133147039213,4215.197448903967,8815.713720268443,8815.763701682099
133,1.7758,4.519314,554.005402674886,42.52122458635818,511.85849752348486,1767.7881531631388,1796.4707998745737
134,2.537543,5.872455,2162.280341900253,570.0865373922016,1425.9409237286375,2641.307361845175,2646.3759166810905
135,2.369287,5.256235,770.811170906702,167.74773607408272,341.9349643835737,12264.188347419587,12264.668085708907
136,2.367625,5.658458,1953.5880947518397,789.5167078054119,6259.703933072113,8841.398785072319,8889.059498442688
137,2.83302,6.943368,12892.822392503467,3950.83904144066,13791.15081976357,14798.526500551661,16722.724504920592
138,1.900758,4.616529,519.7218790879555,1063.3563391102712,4141.109108560179,20306.25527317489,20458.049899291003
139,2.001541,4.970141,930.2506882321279,1897.382252205218,3302.5380941131125,14709.304131095168,14801.062562487803
140,3.485205,7.622807,13727.833400949008,5889.699700904571,30251.878191567455,35155.65079354842,35169.41228516376
141,3.10228,6.991987,7757.235923618238,18206.160289127933,83177.14931153481,86591.37109676086,87008.56507850367
142,3.031356,6.641982,4079.6790658633768,75715.54029482945,102985.44127283496,106524.72701478422,106530.0094677592
143,1.599728,4.160345,363.59424453527424,2359.5849707343177,3175.890634212265,7957.860386653172,8099.578504478675
144,2.635181,6.103802,2941.853217528198,1595.9202116897718,6090.082600930102,12351.665657286121,12603.564970812562
145,2.322652,5.614394,1957.6813342023859,116.50904314460615,448.8054868186964,9401.392539129198,9425.510037241878
146,3.776798,8.011606,17171.490740080066,97317.3863984402,163258.14549442226,171399.03971352414,171459.0439668634
147,2.847317,6.407732,3634.2516810807347,423.760129045412,491.6835111304298,2272.249001538895,2279.005282691767
148,2.832453,6.628527,6252.792258374783,573.0512545407403,898.0804423205107,2194.5127573154678,2203.1937160432535
149,2.027105,4.684463,454.3159665555374,501.8635079756333,867.287771009243,3946.2163622165285,3958.251178758963
150,2.717822,6.229428,3247.9250590683578,516.7003859656409,770.5843956201,10913.046872111678,10960.595194970772
151,2.113105,4.827582,518.1756489794767,424644.7075898525,1158351.4643918744,1159207.9505114607,1162295.223054646
152,2.001541,4.511834,323.81204545574184,610.4922705314923,891.4128454682299,17588.298553039243,17595.532050546073
153,1.869271,4.624106,568.6368495679668,652.1654484080143,720.4777497231755,11086.17032027494,11088.327688671443
154,4.046468,8.55719,32413.20679446622,742.9106849678542,2446.144614990812,14507.13859890781,14640.448399892997
155,2.580085,5.761677,1519.1197149705033,98220.37364951952,113482.51891799156,119809.88455430804,119982.61624194629
156,1.94353,4.588843,441.88880591625355,367.68785821004724,558.2754420918966,7792.0687726231245,7796.192763923266
157,3.415791,7.401605,9678.63250210165,521.2788520652228,1352.6386635020272,7733.809297019149,7763.747032130621
158,1.797412,4.306958,323.2555574040748,565.9315181748011,663.5143593857891,4994.204697191287,4995.5963419032405
