,log Length,log Mass,Line Mass,Thermal,Total,Magnetic
188,3.311467,7.030543,5236.920728300832,1111.934432723243,1447.9553690630532,17223.00678811792
189,2.86899,6.73664,7373.0978914456755,511.55920102205937,1543.1640569866468,4934.843771897449
190,2.464733,5.758205,1965.4952563331349,5980.736270141409,,
191,1.653037,3.546374,78.22345606174646,,,
192,1.984154,4.759135,595.6360844063753,891.9065817774067,891.9065817774067,2390.107074706363
193,1.585722,3.798668,163.28489074997256,2227.3751364968793,2227.3751364968793,12939.039250378124
194,2.556302,5.949116,2470.6657796094364,,,
195,1.736238,4.264377,337.3952778855534,2886.2195471511363,2982.4429307203955,23331.259025889918
196,2.044334,4.332011,193.94429095230777,999.6625839699036,1602.602263665942,6693.2411193502385
197,1.900758,4.593592,492.98533458469774,2992.3075790993616,3454.526184759425,18085.628851354035
198,1.858653,4.559876,502.60059685954826,1017.9130700597954,1034.3612393252606,47119.40176363234
199,3.231396,6.950952,5242.711986768048,1736.563539506659,2908.6517535212074,10589.57169413162
200,3.414739,7.441853,10644.223867920622,772.5122131875003,1444.0862384425352,7300.18315795656
201,2.120246,4.913903,621.8089947215464,6370.876419096037,22667.364804887467,31885.236194514793
202,2.617895,5.93576,2079.050315961203,1434.9396293708396,1889.6257535450204,5013.39179619747
203,1.812058,4.443163,427.6662711412884,,,
204,1.978452,4.980204,1004.0422771347332,2724.9391374857432,5721.206211177646,21603.76188094286
205,2.666992,6.262102,3936.497681596255,815.6244415411801,914.0940676506488,8164.43627846578
206,1.851024,4.159707,203.5555743540985,,,
207,3.90002,8.470585,37201.88963311806,3419.5378962919162,4680.442431636769,10857.186064629164
208,2.402547,5.604559,1592.2527220119375,2735.402840719229,2753.102037356853,27150.757243281827
209,3.527155,7.579066,11269.664831856835,1513.252709729845,4781.409108764349,19056.45122034048
210,2.068931,4.61593,352.37005967950597,,,
211,2.812767,6.641469,6740.653453174903,1333.8169487883326,8217.991261026202,14100.057318202
212,2.631206,6.071226,2754.35554317784,850.9015634381794,1140.6814274913665,2284.8022881440684
213,2.206624,5.087436,759.9972135699777,3390.0675168482912,24666.019660302125,26349.948691829468
214,1.7758,4.303897,337.36265044708875,,,
215,1.622596,4.096829,298.01148391605244,1655.9635158804176,1785.340448863189,11530.757347838444
216,1.599728,4.011091,257.8475445320385,4388.934057487146,4388.934057487146,5947.325580062452
217,2.643758,5.911208,1851.1857562999635,4144.904664185433,4185.364448555443,5074.223582472876
218,2.444242,5.64478,1586.8577601281881,368.8531120175787,469.7831271984195,7265.330939403435
219,3.373016,7.430131,11405.517625892491,1332.6139674493934,15111.173050753792,17932.80273524669
220,1.818,4.416088,396.3583392138643,2612.5564149819998,2713.6621355845637,11945.475386073755
221,1.640672,3.774157,135.98311955678224,1762.2301471838737,1763.8381145798965,4688.511382952023
222,3.326149,7.385719,11470.173838829905,1177.716780878024,1688.4683929448108,12155.259009913649
223,1.622596,3.730607,128.23630624954748,,,
224,1.78858,3.939921,141.69058716043466,1444.7963259790183,1445.0975635563616,2522.5962219476664
225,2.950647,6.558455,4053.2930123220813,2648.884564912712,2449.6910137231544,14079.724371853123
226,2.5908,5.953405,2304.650107266989,1844.1613151040885,5185.187780538492,15862.088420158709
227,2.842949,6.437024,3927.1274863302856,2362.733632147622,6273.751759733338,13029.553759734019
228,3.164871,6.737271,3735.9409225879967,815.4640269861535,1906.357721487551,2748.07486883377
229,1.912343,4.71323,632.2473242040026,4738.577886939267,4788.078075744605,5595.183527557166
230,3.322593,7.232518,8126.901574267717,467.72099372185573,4873.093112402636,11527.84230201123
231,1.947928,4.491202,349.36066050833807,,,
232,2.423341,5.877969,2848.5772401738723,1197.7869736550122,,
233,1.718742,3.992276,187.73013825922615,,,
234,2.147708,5.299143,1417.212584151825,1918.8819783737029,3735.287822900026,13629.647572264752
235,2.781876,6.125634,2206.7747190027603,891.4932207252396,1076.6877202044209,5561.648514440978
236,1.992108,4.835797,697.732576070642,3241.3819434033385,4100.145278562908,9978.484501757432
237,2.0814,4.994036,817.7790866575943,403.4097927046846,388.5700661913041,2794.8485240104555
238,2.039354,4.669591,426.812372178242,1223.7055355484026,1342.1584778898136,13435.202644274555
239,3.618616,7.632815,10332.347403799804,471.225107042423,10294.6582257997,27289.904923161444
240,1.753056,4.265844,325.6776832704025,,,
241,1.932758,3.792796,72.44993497150054,,,
242,2.491112,5.566455,1189.4412614430632,898.7738387965459,1229.44920170959,14909.373943162713
243,1.947928,4.536201,387.50115382387844,667.5531629416952,794.1274836324042,10904.014613573296
244,3.063908,6.834307,5893.848931301494,695.2734724155717,2265.634820104639,9661.493501376428
245,1.622596,4.313949,491.3070544358378,594.0004854784954,855.0748433204093,5801.750034715896
246,3.64734,7.68625,10937.296862747326,3431.6749752143005,6900.691734161968,14723.844716370757
247,3.090745,6.905325,6524.99224727583,1717.8770841414107,4242.353740952468,9170.87933342661
248,2.120246,4.695719,376.2469603432992,,,
249,1.60932,3.594143,96.56572378704819,,,
250,2.547801,6.124774,3775.4871806841957,,,
251,1.750217,3.901263,141.59437472391423,1558.625631321597,,
252,3.147273,6.717341,3715.9340707232764,1775.5104738781833,4258.419142164852,14848.13474735295
253,2.056093,4.879402,665.7466656806188,3905.7035252425385,4453.565553826219,6613.535225831493
254,2.0145,4.640181,422.358267744436,1133.6791367091962,,
255,1.449187,3.739029,194.91353588485524,,,
256,3.046793,6.626928,3803.0759617968806,1081.5947333610457,3346.45408050677,5359.855229327943
257,2.24366,4.867482,420.5542246400007,1194.1399603559394,1196.692232014771,3689.325947067932
258,2.795664,6.34943,3579.035449537263,1210.9860192902913,1774.8627527270328,7265.526745281425
259,1.481189,3.885249,253.54788956564138,1063.2648075504894,1086.0562854453376,18977.476217458716
260,3.073865,6.865979,6196.036964190108,535.9334296025974,3170.6791621649227,5331.893022852489
261,1.958335,4.568101,407.1608384322924,,,
262,1.575588,4.104225,337.7823866955072,2424.3278926555145,2479.662694361269,4012.3305370889566
263,1.900758,4.641684,550.7138515630795,,,
264,2.199342,5.159427,912.1893553427749,751.2702023169662,1272.65651548197,6053.14454492342
265,3.203161,6.791024,3871.3550215364494,842.2517005709992,1297.1226098415011,4477.8802172331725
266,3.349385,7.620791,18681.25290854151,2534.4593403503477,3976.0542132946416,8792.918391305982
267,2.70985,6.254246,3502.6440084460464,530.3177343471943,826.6626183441986,9417.361207878332
